Day,Recipe,Timestamp
Monday,Ramen,2025-08-17 14:27:18
Tuesday,Tilapia,2025-08-17 14:27:18
Wednesday,Egg Roll Bowl,2025-08-17 14:27:18
Thursday,Vodka Pasta,2025-08-17 14:27:18
Friday,Bratwurst,2025-08-17 14:27:18
Saturday,Sausage Skillet,2025-08-17 14:27:18
Monday,Burrito,2025-08-31 13:21:30
Tuesday,Tilapia,2025-08-31 13:21:30
Wednesday,Egg Roll Bowl,2025-08-31 13:21:30
Thursday,Vodka Pasta,2025-08-31 13:21:30
Friday,Sausage Skillet,2025-08-31 13:21:30
Saturday,Chicken Parm,2025-08-31 13:21:30
Monday,Egg Roll Bowl,2025-09-07 13:08:21
Tuesday,Tilapia,2025-09-07 13:08:21
Wednesday,Vodka Pasta,2025-09-07 13:08:21
Thursday,Fried Rice,2025-09-07 13:08:21
Friday,Sausage Skillet,2025-09-07 13:08:21
Saturday,Goulash,2025-09-07 13:08:21
Monday,Burrito,2025-09-21 13:06:48
Tuesday,Tilapia,2025-09-21 13:06:48
Wednesday,Vodka Pasta,2025-09-21 13:06:48
Thursday,Egg Roll Bowl,2025-09-21 13:06:48
Friday,Sausage Skillet,2025-09-21 13:06:48
Saturday,Pierogis and Brussels,2025-09-21 13:06:48
Monday,Fried Rice,2025-10-05 13:45:58
Tuesday,Tilapia,2025-10-05 13:45:58
Wednesday,Vodka Pasta,2025-10-05 13:45:58
Thursday,Burrito,2025-10-05 13:45:58
Friday,Sausage Skillet,2025-10-05 13:45:58
Saturday,Minestrone,2025-10-05 13:45:58
Monday,Ramen,2025-10-12 15:21:42
Tuesday,Croissant Dogs,2025-10-12 15:21:42
Wednesday,Burrito,2025-10-12 15:21:42
Thursday,Vodka Pasta,2025-10-12 15:21:42
Friday,Sausage Skillet,2025-10-12 15:21:42
Saturday,Chili,2025-10-12 15:21:42
Monday,Chili,2025-10-19 14:28:02
Tuesday,Tilapia,2025-10-19 14:28:02
Wednesday,Dumplings,2025-10-19 14:28:02
Thursday,Chicken Parm,2025-10-19 14:28:02
Friday,,2025-10-19 14:28:02
Saturday,,2025-10-19 14:28:02
Monday,Pizza,2025-11-02 14:23:24
Tuesday,Tilapia,2025-11-02 14:23:24
Wednesday,Vodka Pasta,2025-11-02 14:23:24
Thursday,Dumplings,2025-11-02 14:23:24
Friday,Sausage Skillet,2025-11-02 14:23:24
Saturday,French Onion Soup,2025-11-02 14:23:24
Monday,Tilapia,2025-11-09 14:40:01
Tuesday,Pizza,2025-11-09 14:40:01
Wednesday,Vodka Pasta,2025-11-09 14:40:01
Thursday,Sausage Skillet,2025-11-09 14:40:01
Friday,Burrito,2025-11-09 14:40:01
Saturday,French Onion Soup,2025-11-09 14:40:01
Monday,,2025-12-02 02:25:46
Tuesday,,2025-12-02 02:25:46
Wednesday,Burrito,2025-12-02 02:25:46
Thursday,Dumplings,2025-12-02 02:25:46
Friday,Chicken and Dumpling Soup,2025-12-02 02:25:46
Saturday,Sausage Skillet,2025-12-02 02:25:46
Monday,Croissant Dogs,2025-12-07 16:09:37
Tuesday,Ramen,2025-12-07 16:09:37
Wednesday,Vodka Pasta,2025-12-07 16:09:37
Thursday,Dumplings,2025-12-07 16:09:37
Friday,Sausage Skillet,2025-12-07 16:09:37
Saturday,,2025-12-07 16:09:37
Monday,Dumplings,2026-01-04 18:32:53
Tuesday,Tilapia,2026-01-04 18:32:53
Wednesday,Burrito,2026-01-04 18:32:53
Thursday,Vodka Pasta,2026-01-04 18:32:53
Friday,Sausage Skillet,2026-01-04 18:32:53
Saturday,Chicken and Dumpling Soup,2026-01-04 18:32:53
