Day,Recipe,Timestamp
Monday,Ramen,2025-08-17 14:27:18
Tuesday,Tilapia,2025-08-17 14:27:18
Wednesday,Egg Roll Bowl,2025-08-17 14:27:18
Thursday,Vodka Pasta,2025-08-17 14:27:18
Friday,Bratwurst,2025-08-17 14:27:18
Saturday,Sausage Skillet,2025-08-17 14:27:18
Monday,Burrito,2025-08-31 13:21:30
Tuesday,Tilapia,2025-08-31 13:21:30
Wednesday,Egg Roll Bowl,2025-08-31 13:21:30
Thursday,Vodka Pasta,2025-08-31 13:21:30
Friday,Sausage Skillet,2025-08-31 13:21:30
Saturday,Chicken Parm,2025-08-31 13:21:30
Monday,Egg Roll Bowl,2025-09-07 13:08:21
Tuesday,Tilapia,2025-09-07 13:08:21
Wednesday,Vodka Pasta,2025-09-07 13:08:21
Thursday,Fried Rice,2025-09-07 13:08:21
Friday,Sausage Skillet,2025-09-07 13:08:21
Saturday,Goulash,2025-09-07 13:08:21
Monday,Burrito,2025-09-21 13:06:48
Tuesday,Tilapia,2025-09-21 13:06:48
Wednesday,Vodka Pasta,2025-09-21 13:06:48
Thursday,Egg Roll Bowl,2025-09-21 13:06:48
Friday,Sausage Skillet,2025-09-21 13:06:48
Saturday,Pierogis and Brussels,2025-09-21 13:06:48
Monday,Fried Rice,2025-10-05 13:45:58
Tuesday,Tilapia,2025-10-05 13:45:58
Wednesday,Vodka Pasta,2025-10-05 13:45:58
Thursday,Burrito,2025-10-05 13:45:58
Friday,Sausage Skillet,2025-10-05 13:45:58
Saturday,Minestrone,2025-10-05 13:45:58
